candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,design_strategy,design_rationale,risk_level,expected_phase_direction,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
ng_zero_rot_release_01,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,58,78,140,0.75,0.75,0.25,0.25,-42,32,15,60,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_02,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,60,78,142,0.75,0.75,0.25,0.25,-46,36,20,70,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_03,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,62,78,144,0.75,0.75,0.25,0.25,-50,40,25,80,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_04,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,64,78,146,0.75,0.75,0.25,0.25,-54,44,30,90,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_05,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,58,78,148,0.75,0.75,0.25,0.25,-48,48,35,95,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_06,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,60,78,150,0.75,0.75,0.25,0.25,-52,52,40,100,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_07,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,62,78,152,0.75,0.75,0.25,0.25,-56,56,45,105,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_08,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,64,78,154,0.75,0.75,0.25,0.25,-44,50,50,110,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_09,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,66,78,150,0.75,0.75,0.25,0.25,-38,46,55,115,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_zero_rot_release_10,rotation_released_zero_bin,09-P33/P35,0,next_zero_rot_anchor_03|pl_zero_bridge_04,zero-bin rotation release,Release rotations while keeping moderated widths to lower zero-bin leakage.,moderate_to_high_risk,toward 0 deg without high leakage,116,68,78,148,0.75,0.75,0.25,0.25,-34,42,60,120,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_01,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,120,58,84,144,0.75,0.75,0.25,0.25,-44,-42,55,125,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_02,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,122,58,84,146,0.75,0.75,0.25,0.25,-48,-46,60,130,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_03,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,124,58,84,148,0.75,0.75,0.25,0.25,-52,-50,65,135,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_04,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,126,58,84,150,0.75,0.75,0.25,0.25,-56,-54,70,140,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_05,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,128,58,84,152,0.75,0.75,0.25,0.25,-60,-58,75,145,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_06,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,130,58,84,154,0.75,0.75,0.25,0.25,-50,-56,80,150,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_07,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,132,58,84,156,0.75,0.75,0.25,0.25,-54,-52,85,155,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_08,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,134,58,84,158,0.75,0.75,0.25,0.25,-58,-48,90,160,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_09,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,128,58,84,150,0.75,0.75,0.25,0.25,-46,-44,95,165,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg60_dxdy_release_10,rotation_released_neg60_dxdy,09-P33/P35,-60,focus_neg60_geom_04|pl_neg60_focus_push_05,negative-bin dx/dy expansion,Push -60 using coupled negative dy and released rotations while preserving low-leakage dimensions.,moderate_to_high_risk,pull positive 90 deg usable point toward -60 deg,126,58,84,148,0.75,0.75,0.25,0.25,-42,-40,100,170,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_01,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,112,66,100,136,0.75,0.75,0.25,0.25,40,-36,60,135,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_02,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,110,68,102,138,0.75,0.75,0.25,0.25,44,-40,65,145,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_03,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,108,70,104,140,0.75,0.75,0.25,0.25,48,-44,70,155,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_04,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,106,72,106,142,0.75,0.75,0.25,0.25,52,-48,75,165,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_05,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,118,64,100,134,0.75,0.75,0.25,0.25,56,-52,80,150,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_06,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,120,66,98,132,0.75,0.75,0.25,0.25,50,-56,85,140,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_07,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,122,68,96,130,0.75,0.75,0.25,0.25,46,-50,90,130,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_08,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,124,70,94,128,0.75,0.75,0.25,0.25,42,-46,95,120,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_09,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,116,74,108,144,0.75,0.75,0.25,0.25,38,-42,100,110,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
ng_neg120_swap_asym_10,controlled_swap_inversion_neg120,09-P33/P35,-120,pl_neg120_aspect_03|gap_lhs_leakred_06,controlled swap/inversion,Probe p1/p2 aspect-ratio inversion without beta-selective p2 baseline.,high_risk,toward -120 deg with leakage-aware asymmetry,114,76,110,146,0.75,0.75,0.25,0.25,34,-38,105,100,340,340,300,c-Si,Al2O3,true,true,not_evaluated,nextgen scaffold only; no YAML/FDTD/lumapi/.fsp generated; optical response unknown
