candidate_id,candidate_family,phase_deg,target_bin_deg,phase_error_to_target_deg,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,PD,overall_early_pass,target_bin_status,phase_region,diagnosis_class,usable_phase_region,notes
baseline,baseline,111.31665091018954,,,0.9711541351322045,0.0401994772579764,24.158377206667513,0.9205036166065964,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p1L_m10,one_factor_geometry_variant,103.97568470011174,,,0.9432781844426418,0.08702803074499596,10.838785806802145,0.8310637566530411,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p1L_m5,one_factor_geometry_variant,106.86075741213324,,,0.9633130891923771,0.03274486508525911,29.418752731328766,0.9342510845978365,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p1L_p5,one_factor_geometry_variant,116.59195034600026,,,0.9445714253434363,0.11078078290051971,8.526491694720443,0.7900591252180209,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p1L_p10,one_factor_geometry_variant,124.13005700428602,,,0.8532489247928811,0.2314567251907657,3.6864296083293766,0.5732358816522403,False,,other,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
p1W_m5,one_factor_geometry_variant,105.31823362781068,,,0.9630178978367885,0.03327122222380918,28.94447012889415,0.9332097047847876,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p1W_p5,one_factor_geometry_variant,118.07875127181353,,,0.9472618562179853,0.11949113699612182,7.927465417303727,0.7759722489524304,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p2W_m10,one_factor_geometry_variant,107.57055018975018,,,0.9326477741220178,0.3489369565512095,2.6728260122927705,0.4554601842546334,False,,other,high_leakage_not_usable,not_usable,leakage bottleneck prevents using this phase point
p2W_m5,one_factor_geometry_variant,109.34146132567548,,,0.9536094363333241,0.14331073983793746,6.654137976023684,0.7387034299277365,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
p2W_p10,one_factor_geometry_variant,115.51767735660422,,,0.989295647991839,0.013538327784482138,73.07369592969323,0.9729998621666397,True,,90_120_usable,usable_existing_60_120_cluster,usable_60_120_span,early-pass row in the dominant usable 60-120 deg phase cluster
