candidate_id,family,selection_slot,anchor_candidate_id,phase_deg,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,early_pass,near_pass,opens_missing_bin,useful_trend_75_105_early_pass,phase_hit_failed,diagnostic_class,interpretation
cpk_pos120_hswap_h320_01,pos120_iso_retard_height,height_scan,cpk_branch_helper_swap_br_01,167.49124528782306,0.9487161874954069,0.08384322046670946,11.31535957474088,True,False,False,False,False,selective_covered_bin,selectivity preserved but phase remains covered or wraps toward -180
cpk_pos120_hswap_h340_01,pos120_iso_retard_height,height_scan,cpk_branch_helper_swap_br_01,-173.86938387275106,0.9043910445511791,0.22264558530096523,4.062021006729552,False,True,False,False,False,near_pass_covered_bin,near-pass only and not a 60deg opening
cpk_pos120_rotrel_h320_01,pos120_iso_retard_height,height_scan,cpk_rot_release_02,153.92323528545586,0.9163744608837261,0.0751757065864403,12.189768510108369,True,False,False,False,False,selective_covered_bin,selectivity preserved but phase remains covered or wraps toward -180
cpk_pos120_intrel_h320_01,pos120_iso_retard_height,height_scan,cpk_branch_internal_release_01,164.78405992100903,0.9370083891234018,0.3037412935159364,3.084889704244823,False,False,False,False,False,failed_selectivity_or_phase,does not meet phase or selectivity target
cpk_pos120_hswap_scale96_01,pos120_iso_retard_size,size_aspect,cpk_branch_helper_swap_br_01,119.27760710922843,0.940179229649121,0.41207503515566923,2.281572891919232,False,False,False,False,False,failed_selectivity_or_phase,does not meet phase or selectivity target
cpk_pos120_hswap_scale104_01,pos120_iso_retard_size,size_aspect,cpk_branch_helper_swap_br_01,153.07349911522226,0.9494405907460254,0.14968626126029744,6.3428706331949165,True,False,False,False,False,selective_covered_bin,selectivity preserved but phase remains covered or wraps toward -180
cpk_pos120_rotrel_aspect_reduce5_01,pos120_iso_retard_size,size_aspect,cpk_rot_release_02,128.95717457842738,0.9460381175850512,0.17441690604444082,5.424004696767066,False,True,False,False,False,near_pass_covered_bin,near-pass only and not a 60deg opening
cpk_pos120_intrel_aspect_reduce5_01,pos120_iso_retard_size,size_aspect,cpk_branch_internal_release_01,147.9394550737493,0.8870135036683244,0.1298461509182346,6.83126528888064,True,False,False,False,False,selective_covered_bin,selectivity preserved but phase remains covered or wraps toward -180
cpk_pos120_period430_h320_01,pos120_mode_order_hwp,mode_order,cpk_period_phase_04,151.7780467151337,0.7546241676362858,0.22205979116498345,3.3982927015959654,False,True,False,False,False,near_pass_covered_bin,near-pass only and not a 60deg opening
cpk_pos120_period390_h320_01,pos120_mode_order_hwp,mode_order,cpk_period_phase_04,153.03971352140059,0.9164170492269937,0.036873152662119796,24.853232854824103,True,False,False,False,False,selective_covered_bin,selectivity preserved but phase remains covered or wraps toward -180
cpk_pos60_recover_m45weak_notch_p1_01,rot60_notch_recovery,rot60_recovery,cpk_branch_core_offset_m45_weak_01,62.99356155313336,0.6082524574223038,0.3922155168590966,1.5508118146184096,False,False,False,False,True,phase_hit_failed,phase in 45-75 deg window but leakage or ratio fails
cpk_pos60_recover_m40counter_notch_p1_01,rot60_notch_recovery,rot60_recovery,cpk_60rec_counter_m40_relax_01,67.90928241489507,0.6318389988354791,0.3972557477128247,1.5905093946976536,False,False,False,False,True,phase_hit_failed,phase in 45-75 deg window but leakage or ratio fails
