candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,source_reference,design_rationale,risk_level,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
next_rot_anchor_01,rotation_assisted_anchor_probe,09-P19/P20/P21,0,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,7.5,52.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_02,rotation_assisted_anchor_probe,09-P19/P20/P21,0,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,7.5,52.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_03,rotation_assisted_anchor_probe,09-P19/P20/P21,0,fine_p1w_dx_03,fine_p1w_dx_03,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,130,56,85,150,0.75,0.75,0.25,0.25,-33,0,7.5,52.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_04,rotation_assisted_anchor_probe,09-P19/P20/P21,-60,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_05,rotation_assisted_anchor_probe,09-P19/P20/P21,-60,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_06,rotation_assisted_anchor_probe,09-P19/P20/P21,-60,fine_p1w_dx_03,fine_p1w_dx_03,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,130,56,85,150,0.75,0.75,0.25,0.25,-33,0,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_07,rotation_assisted_anchor_probe,09-P19/P20/P21,-120,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_08,rotation_assisted_anchor_probe,09-P19/P20/P21,-120,aggr_p1w_leakctrl_04,aggr_p1w_leakctrl_04,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,120,58,80,140,0.75,0.75,0.25,0.25,-36,30,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_09,rotation_assisted_anchor_probe,09-P19/P20/P21,-120,fine_p1w_dx_03,fine_p1w_dx_03,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,130,56,85,150,0.75,0.75,0.25,0.25,-33,0,127.5,172.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
next_rot_anchor_10,rotation_assisted_anchor_probe,09-P19/P20/P21,-180,aggr_lhs_retention_dy_05,aggr_lhs_retention_dy_05,Global-rotation phase synthesis hypothesis; preserves relative pillar rotation and requires FDTD validation.,high_risk,115,55,75,135,0.75,0.75,0.25,0.25,-40,32,157.5,22.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Next-gap scaffold only; phase synthesis hypothesis requires real FDTD validation; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
