candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar1_x_nm,pillar1_y_nm,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,pillar2_x_nm,pillar2_y_nm,helper_length_nm,helper_width_nm,helper_rotation_deg,helper_x_nm,helper_y_nm,common_core_rotation_offset_deg,priority,rationale,guardrail_notes
cpk_branch_core_offset_m30_01,apcd_core_common_rotation_offset,60/0,300,340,340,130,70,37.5,85,85,85,150,82.5,-85,-85,70,120,135,-85,85,-30,1,Apply a common -30 deg APCD-core rotation offset at the 120-plateau height to test a controlled phase branch shift toward 60/0 rather than reinforcing -180.,Planning only; not lower_transition or helper_lower; period fixed; height below known -180 basin; no phase-ramp supercell.
cpk_branch_core_offset_p30_01,apcd_core_common_rotation_offset,-60/0,300,340,340,130,70,97.5,85,85,85,150,142.5,-85,-85,70,120,135,-85,85,30,2,Apply a common +30 deg APCD-core rotation offset at the 120-plateau height to test the opposite branch direction toward -60/0.,Planning only; not lower_transition or helper_lower; period fixed; height below known -180 basin; no phase-ramp supercell.
cpk_branch_internal_release_01,apcd_core_internal_rotation_release,0/60,300,340,340,130,70,52.5,85,85,85,150,127.5,-85,-85,70,120,135,-85,85,,3,Release the internal APCD core rotations asymmetrically around the prior paired state to test whether the 120 plateau can split toward 0/60.,Planning only; period fixed; height avoids the P75-P79 -180 duplicate basin; no steering claim.
cpk_branch_helper_swap_br_01,helper_quadrant_swap,-60/0,300,340,340,130,70,67.5,85,85,85,150,112.5,-85,-85,70,120,135,85,-85,,4,Move the helper from top-left to the empty bottom-right quadrant at the 120-plateau height to probe a new coupling branch toward -60/0.,Planning only; helper is not random/freeform; period fixed; no lower-helper repeat.
cpk_branch_internal_release_02,apcd_core_internal_rotation_release,-60/0,320,340,340,130,70,82.5,85,85,85,150,97.5,-85,-85,70,120,135,-85,85,,5,Use the opposite internal release direction at h=320 to test whether core anisotropy balance can leave the -180 basin before the lower-transition route dominates.,Planning only; period fixed; h<440; not selected before top-4 results.
cpk_branch_mild_geom_01,mild_core_geometry_perturbation,0/60,300,340,340,120,80,67.5,85,85,95,140,112.5,-85,-85,70,120,135,-85,85,,6,Mildly reduce APCD-core anisotropy contrast at the 120-plateau height to seek a branch between the plateau and zero phase.,Planning only; conservative dimensions; no height >=440; not a lower-transition/helper-lower repeat.
cpk_branch_mild_geom_02,mild_core_geometry_perturbation,-60/0,320,340,340,140,65,67.5,85,85,80,155,112.5,-85,-85,70,120,135,-85,85,,7,Mildly increase core anisotropy contrast at h=320 to test a branch distinct from the helper-lower -180 duplicate path.,Planning only; period fixed; h<440; hold until top-4 evidence.
cpk_branch_helper_swap_tr_01,helper_quadrant_swap,0/60,300,340,340,130,70,67.5,85,85,85,150,112.5,-85,-85,70,120,135,85,85,,8,Place the helper in the same top-right quadrant as pillar1 as a controlled coupling reference to test whether near-field asymmetry shifts toward 0/60.,Planning only; higher collision/coupling risk; validate geometry before any FDTD.
cpk_branch_phase_ref_p45_01,explicit_phase_offset_reference,60/0,300,340,340,130,70,112.5,85,85,85,150,157.5,-85,-85,0,0,,0,0,45,9,No-helper explicit +45 deg core rotation offset reference to separate core phase offset from helper-induced coupling.,Planning only; reference candidate; no helper; not selected before branch probes.
cpk_branch_phase_ref_m45_01,explicit_phase_offset_reference,-60/0,300,340,340,130,70,22.5,85,85,85,150,67.5,-85,-85,0,0,,0,0,-45,10,No-helper explicit -45 deg core rotation offset reference to bracket the common-offset branch without adding helper coupling.,Planning only; reference candidate; no helper; no phase-ramp supercell.
