candidate_id,group,family,anchor_candidate_id,height_nm,period_x_nm,period_y_nm,p1_shape,p1_length_nm,p1_width_nm,p1_notch_depth_nm,p1_notch_width_nm,p1_notch_side,p2_shape,p2_length_nm,p2_width_nm,p2_notch_depth_nm,p2_notch_width_nm,p2_notch_side,target_bin_deg,config_path,fdtd_status,rationale
cpk_zero_l60_h233_p1geom120x58_p2geom74x135_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,74,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom74x135_01.yaml,not_run,Mild p2 length -1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom120x58_p2geom76x135_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,76,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom76x135_01.yaml,not_run,Mild p2 length +1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom120x58_p2geom75x134_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,75,134,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom75x134_01.yaml,not_run,Mild p2 width -1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom120x58_p2geom75x136_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,75,136,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom75x136_01.yaml,not_run,Mild p2 width +1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom120x58_p2geom74x134_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,74,134,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom74x134_01.yaml,not_run,Coupled p2 length/width -1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom120x58_p2geom76x136_01,A,p2_dynamic_resonance_phase_scan,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,rectangle,76,136,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_p2geom76x136_01.yaml,not_run,Coupled p2 length/width +1 nm resonance-phase check at fixed h233.
cpk_zero_l60_h233_p1geom119x58_01,B,p1_minor_compensation_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,rectangle,119,58,,,,rectangle,75,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom119x58_01.yaml,not_run,p1 length -1 nm compensation while preserving fixed h233 route.
cpk_zero_l60_h233_p1geom118x58_01,B,p1_minor_compensation_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,rectangle,118,58,,,,rectangle,75,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom118x58_01.yaml,not_run,p1 length -2 nm compensation while preserving fixed h233 route.
cpk_zero_l60_h233_p1geom120x57_01,B,p1_minor_compensation_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,57,,,,rectangle,75,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x57_01.yaml,not_run,p1 width -1 nm compensation while preserving fixed h233 route.
cpk_zero_l60_h233_p1geom120x58_notch_p1_right4_01,C,mild_notch_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,notched_rectangle,120,58,4,18,right,rectangle,75,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p1_right4_01.yaml,not_run,Mild p1 right-side notch at fixed h233 using existing schema.
cpk_zero_l60_h233_p1geom120x58_notch_p1_left4_01,C,mild_notch_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,notched_rectangle,120,58,4,18,left,rectangle,75,135,,,,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p1_left4_01.yaml,not_run,Mild p1 left-side notch at fixed h233 using existing schema.
cpk_zero_l60_h233_p1geom120x58_notch_p2_right4_01,C,mild_notch_fixed_h233,aggr_lhs_retention_dy_05,233,340,340,rectangle,120,58,,,,notched_rectangle,75,135,4,20,right,0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h233_p1geom120x58_notch_p2_right4_01.yaml,not_run,Mild p2 right-side notch at fixed h233 using existing schema.
