candidate_id,candidate_family,source_stage,target_bin_deg,anchor_candidate,source_reference,design_rationale,risk_level,p1_length_nm,p1_width_nm,p2_length_nm,p2_width_nm,p1_frac_x,p1_frac_y,p2_frac_x,p2_frac_y,internal_dx_nm,internal_dy_nm,p1_rotation_deg,p2_rotation_deg,period_x_nm,period_y_nm,height_nm,material,substrate,requires_geometry_validation,requires_fdtd,status,notes
focus_zero_leakred_01,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,Reduce dy and widen p1 relative to next_zero evidence to reduce leakage while preserving 0-deg pull.,moderate_to_high_risk,115,57,75,138,0.75,0.75,0.25,0.25,-38,32,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_02,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,Move partway toward the low-leakage 81-deg anchor while retaining the 0-deg rotation family.,moderate_risk,118,58,78,140,0.75,0.75,0.25,0.25,-36,30,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_03,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|fine_p1w_dx_03,next_zero_rot_anchor_03|fine_p1w_dx_03,Introduce fine p1w_dx leakage control with smaller dy.,moderate_risk,122,56,80,140,0.75,0.75,0.25,0.25,-36,28,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_04,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|fine_p1w_dx_08,next_zero_rot_anchor_03|fine_p1w_dx_08,Fine-anchor leakage-control bridge with reduced dx/dy aggressiveness.,moderate_risk,124,57,82,142,0.75,0.75,0.25,0.25,-34,28,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_05,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|gap_lhs_leakred_06,next_zero_rot_anchor_03|gap_lhs_leakred_06,Use gap_lhs leakage-reduced geometry as a soft landing from the zero evidence point.,moderate_risk,116,59,78,142,0.75,0.75,0.25,0.25,-34,30,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_06,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03,next_zero_rot_anchor_03,Increase p1 width while preserving high dx to test leakage reduction without losing phase evidence.,moderate_to_high_risk,115,60,75,140,0.75,0.75,0.25,0.25,-40,30,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_07,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,"Balanced top zero candidate: lower dy, slightly wider p1, and modest p2 trim to reduce leakage.",moderate_risk,116,58,76,138,0.75,0.75,0.25,0.25,-38,30,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_08,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03,next_zero_rot_anchor_03,Retain stronger zero-bin phase evidence with only mild p2 trim.,high_risk,118,56,76,136,0.75,0.75,0.25,0.25,-40,34,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_09,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,Use p1w leakage-control anchor while keeping zero-bin rotations.,moderate_risk,120,58,80,138,0.75,0.75,0.25,0.25,-36,32,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_10,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|fine_p1w_dx_03,next_zero_rot_anchor_03|fine_p1w_dx_03,Lower dy bridge toward fine p1w_dx for leakage reduction.,moderate_risk,126,56,82,142,0.75,0.75,0.25,0.25,-34,24,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_11,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|gap_lhs_leakred_06,next_zero_rot_anchor_03|gap_lhs_leakred_06,Conservative zero evidence retention with broader widths and reduced displacement.,low_to_moderate_risk,118,60,80,144,0.75,0.75,0.25,0.25,-32,28,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_12,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,next_zero_rot_anchor_03|aggr_lhs_retention_dy_05,Keep lhs-like dimensions but soften leakage through p1 widening.,moderate_to_high_risk,114,58,74,136,0.75,0.75,0.25,0.25,-38,34,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_13,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|fine_p1w_dx_08,next_zero_rot_anchor_03|fine_p1w_dx_08,Blend zero evidence with low-leakage fine anchor at reduced displacement.,moderate_risk,128,57,84,144,0.75,0.75,0.25,0.25,-32,26,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_14,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,next_zero_rot_anchor_03|aggr_p1w_leakctrl_04,Wider p1 leakage-control test retaining zero-bin rotation.,moderate_risk,120,60,78,136,0.75,0.75,0.25,0.25,-38,28,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_15,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03,next_zero_rot_anchor_03,Retain dy evidence while trimming widths to test whether phase survives leakage-control geometry.,high_risk,116,56,78,140,0.75,0.75,0.25,0.25,-36,36,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_zero_leakred_16,zero_bin_leakage_reduction,09-P24/P25,0,next_zero_rot_anchor_03|gap_lhs_leakred_06,next_zero_rot_anchor_03|gap_lhs_leakred_06,Most conservative zero leakage-reduction bridge; may lose 0-deg phase pull.,low_to_moderate_risk,122,60,82,146,0.75,0.75,0.25,0.25,-30,24,22.5,67.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_neg60_geom_01,negative_phase_redesign,09-P24/P25,-60,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,Geometry-driven -60 probe using opposite-sign dx/dy coupling and moderate asymmetry.,moderate_to_high_risk,120,58,82,146,0.75,0.75,0.25,0.25,-38,-30,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_neg60_geom_02,negative_phase_redesign,09-P24/P25,-60,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,Stronger -60 probe with high displacement coupling and p2 width emphasis.,high_risk,116,56,78,150,0.75,0.75,0.25,0.25,-40,-34,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
focus_neg60_geom_03,negative_phase_redesign,09-P24/P25,-60,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,next_rot_anchor_04|next_zero_rot_anchor_03|low_leakage_anchors,Lower-risk -60 bridge with softened displacement and aspect contrast.,moderate_risk,124,60,84,144,0.75,0.75,0.25,0.25,-34,-28,67.5,112.5,340.0,340.0,300.0,c-Si,Al2O3,true,true,not_evaluated,Focused next-gap scaffold only; no FDTD/lumapi/.fsp/training in this stage; not a steering result.
