rank,candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,core_shape,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,helper_shape,helper_length_nm,helper_width_nm,helper_rotation_deg,selection_status,rationale
1,cpk_060_geom_round_h420_r12_01,rounded_rectangle_apcd_core,0/60,420,340,340,rounded_rectangle,130,70,67.5,85,150,112.5,,,,,selected,Rounded APCD core tests edge-softened resonance without common rotation or alt_htrans04 forcing.
2,cpk_060_geom_ellipse_h420_01,elliptical_apcd_core,0/60,420,340,340,ellipse,130,70,67.5,85,150,112.5,,,,,selected,Elliptical APCD core is a genuinely new core boundary condition with same alpha-pass rotations.
3,cpk_060_geom_capsule_h420_01,capsule_racetrack_apcd_core,0/60,420,340,340,capsule,130,70,67.5,85,150,112.5,,,,,selected,Capsule/racetrack core tests semicircular endcaps while preserving APCD core orientation.
4,cpk_060_geom_chamfer_h425_c10_01,chamfered_rectangle_apcd_core,0/60,425,340,340,chamfered_rectangle,130,70,67.5,85,150,112.5,,,,,selected,Chamfered rectangle core tests corner-removal resonance at h425.
5,cpk_060_geom_round_h430_r16_01,rounded_rectangle_apcd_core,0/60,430,340,340,rounded_rectangle,130,70,67.5,85,150,112.5,,,,,selected,Higher rounded-core point checks whether h430 moves toward 0/60 without alt_htrans04 scaling.
6,cpk_060_geom_ellipse_h425_scalar55_01,ellipse_core_weak_scalar_bias,0/60,425,340,340,ellipse,130,70,67.5,85,150,112.5,ellipse,55,55,0,selected,Single weak scalar resonator bias on an elliptical core; not a helper-shape sweep.
7,cpk_060_geom_chamfer_h430_c14_01,chamfered_rectangle_apcd_core,0/60,430,340,340,chamfered_rectangle,130,70,67.5,85,150,112.5,,,,,backup,Backup chamfer h430 point if selected family needs continuation.
8,cpk_060_geom_capsule_h430_01,capsule_racetrack_apcd_core,0/60,430,340,340,capsule,130,70,67.5,85,150,112.5,,,,,backup,Backup capsule h430 point; not selected to keep FDTD batch compact.
9,cpk_060_geom_ellipse_h430_scale96_01,elliptical_apcd_core,0/60,430,340,340,ellipse,124.8,67.2,67.5,81.6,144,112.5,,,,,backup,Backup scale96 ellipse point; not selected because P119 scale96 stayed far from 0/60.
10,cpk_060_geom_round_h425_scalar50_01,rounded_core_weak_scalar_bias,0/60,425,340,340,rounded_rectangle,130,70,67.5,85,150,112.5,ellipse,50,50,0,backup,Backup weak scalar point; not selected to avoid helper-shape sweep behavior.
