candidate_id,family,selection_slot,anchor_candidate_id,phase_deg,nearest_target_bin_deg,phase_error_to_bin_deg,best_current_missing_bin_deg,phase_error_to_best_current_missing_deg,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,PD,early_pass,near_pass,opens_missing_bin,useful_trend_75_105_early_pass,useful_anchor,phase_hit_failed,status_class,role
cpk_pos120_hswap_h320_01,pos120_iso_retard_height,height_scan,cpk_branch_helper_swap_br_01,167.49124528782306,-180,12.50875471217694,60,107.49124528782306,0.9487161874954069,0.08384322046670946,11.31535957474088,0.8376011688613574,True,False,False,False,False,False,early_pass_covered_bin,Early-pass selectivity preserved but phase remains in a covered bin: phase=167.4912.
cpk_pos120_hswap_h340_01,pos120_iso_retard_height,height_scan,cpk_branch_helper_swap_br_01,-173.86938387275106,-180,6.13061612724894,60,126.13061612724894,0.9043910445511791,0.22264558530096523,4.062021006729552,0.6049008889258967,False,True,False,False,False,False,near_pass_covered_bin,Near-pass only and not a 60deg opening: phase=-173.8694.
cpk_pos120_rotrel_h320_01,pos120_iso_retard_height,height_scan,cpk_rot_release_02,153.92323528545586,-180,26.076764714544137,60,93.92323528545586,0.9163744608837261,0.0751757065864403,12.189768510108369,0.8483673160407664,True,False,False,False,False,False,early_pass_covered_bin,Early-pass selectivity preserved but phase remains in a covered bin: phase=153.9232.
cpk_pos120_intrel_h320_01,pos120_iso_retard_height,height_scan,cpk_branch_internal_release_01,164.78405992100903,-180,15.21594007899097,60,104.78405992100903,0.9370083891234018,0.3037412935159364,3.084889704244823,0.5103906972273903,False,False,False,False,False,False,fail,"No 60deg opening or useful trend: phase=164.7841, leakage=0.3037, ratio=3.0849."
cpk_pos120_hswap_scale96_01,pos120_iso_retard_size,size_aspect,cpk_branch_helper_swap_br_01,119.27760710922843,120,0.7223928907715733,60,59.27760710922843,0.940179229649121,0.41207503515566923,2.281572891919232,0.3905361648604581,False,False,False,False,False,False,fail,"No 60deg opening or useful trend: phase=119.2776, leakage=0.4121, ratio=2.2816."
cpk_pos120_hswap_scale104_01,pos120_iso_retard_size,size_aspect,cpk_branch_helper_swap_br_01,153.07349911522226,-180,26.92650088477774,60,93.07349911522226,0.9494405907460254,0.14968626126029744,6.3428706331949165,0.7276269595498878,True,False,False,False,False,False,early_pass_covered_bin,Early-pass selectivity preserved but phase remains in a covered bin: phase=153.0735.
cpk_pos120_rotrel_aspect_reduce5_01,pos120_iso_retard_size,size_aspect,cpk_rot_release_02,128.95717457842738,120,8.95717457842738,60,68.95717457842738,0.9460381175850512,0.17441690604444082,5.424004696767066,0.688667724511072,False,True,False,False,False,False,near_pass_covered_bin,Near-pass only and not a 60deg opening: phase=128.9572.
cpk_pos120_intrel_aspect_reduce5_01,pos120_iso_retard_size,size_aspect,cpk_branch_internal_release_01,147.9394550737493,120,27.9394550737493,60,87.9394550737493,0.8870135036683244,0.1298461509182346,6.83126528888064,0.744613427560167,True,False,False,False,False,False,early_pass_covered_bin,Early-pass selectivity preserved but phase remains in a covered bin: phase=147.9395.
cpk_pos120_period430_h320_01,pos120_mode_order_hwp,mode_order,cpk_period_phase_04,151.7780467151337,-180,28.22195328486631,60,91.7780467151337,0.7546241676362858,0.22205979116498345,3.3982927015959654,0.545278103189489,False,True,False,False,False,False,near_pass_covered_bin,Near-pass only and not a 60deg opening: phase=151.7780.
cpk_pos120_period390_h320_01,pos120_mode_order_hwp,mode_order,cpk_period_phase_04,153.03971352140059,-180,26.960286478599414,60,93.03971352140059,0.9164170492269937,0.036873152662119796,24.853232854824103,0.9226402357026006,True,False,False,False,False,False,early_pass_covered_bin,Early-pass selectivity preserved but phase remains in a covered bin: phase=153.0397.
cpk_pos60_recover_m45weak_notch_p1_01,rot60_notch_recovery,rot60_recovery,cpk_branch_core_offset_m45_weak_01,62.99356155313336,60,2.9935615531333637,60,2.9935615531333637,0.6082524574223038,0.3922155168590966,1.5508118146184096,0.2159358881209193,False,False,False,False,False,True,phase_hit_failed_60deg,"Phase reaches 60deg window but selectivity fails: phase=62.9936, leakage=0.3922, ratio=1.5508."
cpk_pos60_recover_m40counter_notch_p1_01,rot60_notch_recovery,rot60_recovery,cpk_60rec_counter_m40_relax_01,67.90928241489507,60,7.909282414895071,60,7.909282414895071,0.6318389988354791,0.3972557477128247,1.5905093946976536,0.22795107244424706,False,False,False,False,False,True,phase_hit_failed_60deg,"Phase reaches 60deg window but selectivity fails: phase=67.9093, leakage=0.3973, ratio=1.5905."
