candidate_id,family,target_bin_deg,anchor_candidate,helper_role,p1_length_nm,p1_width_nm,p1_rotation_deg,p1_frac_x,p1_frac_y,p2_length_nm,p2_width_nm,p2_rotation_deg,p2_frac_x,p2_frac_y,p3_length_nm,p3_width_nm,p3_rotation_deg,p3_frac_x,p3_frac_y,p3_x_nm,p3_y_nm,height_nm,period_x_nm,period_y_nm,expected_phase_direction,design_rationale,risk_level,requires_fdtd,status,notes
cpk_refine_htrans_01,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,360,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_htrans_02,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,380,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_htrans_03,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,400,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_htrans_04,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,410,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_high_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_htrans_05,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,420,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_high_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_htrans_06,height_transition_sweep,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-85,85,430,340,340,height transition around cpk_height_prop_05 for -120-like negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_high_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_weak_helper_01,weak_helper_leakage_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,60,105,135,0.25,0.75,-85,85,420,340,340,weaken helper perturbation to recover leakage while retaining negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_weak_helper_02,weak_helper_leakage_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,60,110,135,0.25,0.75,-85,85,420,340,340,weaken helper perturbation to recover leakage while retaining negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_weak_helper_03,weak_helper_leakage_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,65,110,120,0.25,0.75,-85,85,420,340,340,weaken helper perturbation to recover leakage while retaining negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_weak_helper_04,weak_helper_leakage_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,65,115,135,0.25,0.75,-85,85,420,340,340,weaken helper perturbation to recover leakage while retaining negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_weak_helper_05,weak_helper_leakage_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,110,150,0.25,0.75,-85,85,420,340,340,weaken helper perturbation to recover leakage while retaining negative phase,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
cpk_refine_pos_gap_01,helper_position_gap_recovery,-120,cpk_height_prop_05,weak_auxiliary_phase_helper,130,70,67.5,0.75,0.75,85,150,112.5,0.25,0.25,70,120,135,0.25,0.75,-90,90,420,360,360,helper-position and gap recovery around height-propagation anchor,09-P54/P56 v10 refinement: keep APCD-core polarization selection while refining height/helper knobs around the cpk_height_prop_05 negative-phase evidence.,medium_risk,true,not_evaluated,"09-P54/P56 planning only; v10 is candidate-pool version; standalone weak helper, not another APCD dimer; no YAML/FDTD/lumapi/.fsp"
