candidate_id,family,target_bins_deg,height_nm,period_x_nm,period_y_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,helper_length_nm,helper_width_nm,helper_rotation_deg,helper_x_nm,helper_y_nm,common_core_rotation_offset_deg,relative_angle_delta_deg,pillar2_geometry_note,priority,rationale,guardrail_notes
cpk_60rec_offset_m35_01,core_offset_interpolation,60/0,300,340,340,130,70,32.5,85,150,77.5,55,105,135,-85,85,-35,0,unchanged pillar2 85x150,1,Interpolate between m30 near-pass low leakage and m45/m45_weak 60-deg phase placement; expected phase near 80-95 with better leakage than m45.,Planning only; no FDTD; no lower-transition repeat; no height >=440; no beta-selective pillar2 rollback.
cpk_60rec_offset_m40_01,core_offset_interpolation,60/0,300,340,340,130,70,27.5,85,150,72.5,55,105,135,-85,85,-40,0,unchanged pillar2 85x150,2,Middle interpolation point intended to keep phase closer to 60 than m35 while avoiding the m45 leakage jump.,Planning only; period fixed; stop before m60/m75 collapse region.
cpk_60rec_offset_m42p5_01,core_offset_interpolation,60/0,300,340,340,130,70,25.0,85,150,70.0,55,105,135,-85,85,-42.5,0,unchanged pillar2 85x150,3,Fine interpolation just below m45_weak to test whether leakage recovery can be gained while staying near 60 deg.,Planning only; period fixed; no phase-ramp supercell.
cpk_60rec_counter_m40_relax_01,core_offset_with_internal_counter_release,60/0,300,340,340,130,70,30.0,85,150,70.0,55,105,135,-85,85,-40,5,relative angle widened by +5 deg versus common offset,4,Keep common offset near -40 but slightly restore APCD relative angle to improve selectivity while preserving phase shift.,Planning only; APCD core dimensions unchanged; no beta-selective rollback.
cpk_60rec_counter_m45_relax_01,core_offset_with_internal_counter_release,60/0,300,340,340,130,70,25.0,85,150,65.0,55,105,135,-85,85,-45,5,relative angle widened by +5 deg versus common offset,5,Use m45_weak phase anchor but counter-release the internal relative angle to recover leakage/ratio.,Planning only; target phase near 60; no stronger negative offset than m45.
cpk_60rec_helper_pos_m45_far_01,helper_position_leakage_recovery,60/0,300,340,340,130,70,22.5,85,150,67.5,55,105,135,-105,105,-45,0,unchanged pillar2 85x150,6,Keep m45_weak core phase anchor and move the reduced helper farther from the core to reduce leakage while preserving perturbation direction.,Planning only; validate geometry before FDTD; no random/freeform helper.
cpk_60rec_helper_pos_m45_edge_01,helper_position_leakage_recovery,60/0,300,340,340,130,70,22.5,85,150,67.5,55,105,135,-120,85,-45,0,unchanged pillar2 85x150,7,Move the reduced helper laterally toward the left side to weaken coupling while keeping the top-left quadrant role.,Planning only; no period change; no lower-helper route.
cpk_60rec_helper_strength_m45_45x95_01,helper_strength_leakage_recovery,60/0,300,340,340,130,70,22.5,85,150,67.5,45,95,135,-85,85,-45,0,unchanged pillar2 85x150,8,Further reduce helper footprint around m45_weak to recover selectivity while retaining phase near 60.,Planning only; weaker helper may drift phase back toward 80-100; no FDTD in P87.
cpk_60rec_helper_strength_m42p5_50x100_01,helper_strength_leakage_recovery,60/0,300,340,340,130,70,25.0,85,150,70.0,50,100,135,-85,85,-42.5,0,unchanged pillar2 85x150,9,Combine slightly weaker offset with moderate helper reduction to balance phase retention and leakage recovery.,Planning only; no m60/m75 stronger-offset continuation.
cpk_60rec_p2geom_m42p5_01,core_geometry_mild_recovery,60/0,300,340,340,130,70,25.0,90,145,70.0,55,105,135,-85,85,-42.5,0,pillar2 only: 85x150 to 90x145 mild compensation,10,Mild pillar2-only compensation to recover APCD selectivity without reverting to 150x85 beta-selective geometry.,Planning only; pillar2 remains non-rollback 90x145; no height >=440.
