rank,candidate_id,family,target_bins_deg,period_x_nm,period_y_nm,height_nm,pillar1_length_nm,pillar1_width_nm,pillar1_rotation_deg,pillar1_shape,pillar2_length_nm,pillar2_width_nm,pillar2_rotation_deg,pillar2_shape,helper_length_nm,helper_width_nm,helper_rotation_deg,anchor_candidate_id,source_failed_anchor,selection_status,selected_family_slot,rationale
1,cpk_pos120_hswap_h320_01,pos120_iso_retard_height,60,340,340,320,130,70,67.5,rectangle,85,150,112.5,rectangle,70,120,135,cpk_branch_helper_swap_br_01,,selected,height_scan,Height scan from highest-ratio +120 helper-swap anchor; tests dynamic phase while keeping APCD rotations and helper quadrant fixed.
2,cpk_pos120_hswap_h340_01,pos120_iso_retard_height,60,340,340,340,130,70,67.5,rectangle,85,150,112.5,rectangle,70,120,135,cpk_branch_helper_swap_br_01,,selected,height_scan,Second height step from helper-swap +120 anchor; checks whether phase can move toward +60 before selectivity drops.
3,cpk_pos120_rotrel_h320_01,pos120_iso_retard_height,60,340,340,320,130,70,60,rectangle,85,150,105,rectangle,80,110,135,cpk_rot_release_02,,selected,height_scan,Height scan from phase-closest +120 rot-release anchor.
4,cpk_pos120_intrel_h320_01,pos120_iso_retard_height,60,340,340,320,130,70,52.5,rectangle,85,150,127.5,rectangle,70,120,135,cpk_branch_internal_release_01,,selected,height_scan,Height scan from internal-release +120 anchor for iso-retardance comparison.
5,cpk_pos120_hswap_scale96_01,pos120_iso_retard_size,60,340,340,300,124.8,67.2,67.5,rectangle,81.6,144.0,112.5,rectangle,67.2,115.2,135,cpk_branch_helper_swap_br_01,,selected,size_aspect,Common 0.96 size scale from helper-swap anchor; aims to change average dynamic phase while preserving retardance/selectivity.
6,cpk_pos120_hswap_scale104_01,pos120_iso_retard_size,60,340,340,300,135.2,72.8,67.5,rectangle,88.4,156.0,112.5,rectangle,72.8,124.8,135,cpk_branch_helper_swap_br_01,,selected,size_aspect,Common 1.04 size scale from helper-swap anchor; opposite size direction for iso-retardance phase response.
7,cpk_pos120_rotrel_aspect_reduce5_01,pos120_iso_retard_size,60,340,340,300,125,75,60,rectangle,90,145,105,rectangle,80,110,135,cpk_rot_release_02,,selected,size_aspect,Coordinated long-axis reduce/short-axis restore trim from phase-closest +120 anchor.
8,cpk_pos120_intrel_aspect_reduce5_01,pos120_iso_retard_size,60,340,340,300,125,75,52.5,rectangle,90,145,127.5,rectangle,70,120,135,cpk_branch_internal_release_01,,selected,size_aspect,Same aspect compensation on internal-release +120 anchor.
9,cpk_pos120_period430_h320_01,pos120_mode_order_hwp,60,430,430,320,130,70,67.5,rectangle,85,150,112.5,rectangle,90,120,135,cpk_period_phase_04,,selected,mode_order,Period/dynamic phase +120 anchor with modest height step; scouts nearby HWP-like resonance branch without supercell.
10,cpk_pos120_period390_h320_01,pos120_mode_order_hwp,60,390,390,320,130,70,67.5,rectangle,85,150,112.5,rectangle,85,115,135,cpk_period_phase_04,,selected,mode_order,"Intermediate-period mode-order scout between 340 and 430 nm unit cells, still a single periodic dimer cell."
