K,dimer_index,pillar_index_in_dimer,global_pillar_index,x_nm,y_nm,length_nm,width_nm,height_nm,rotation_deg,frac_x,frac_y,dimer_pitch_nm,supercell_period_nm,wavelength_nm,target_angle_deg
6,0,1,0,-917.1465720614704,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,0,2,1,-1120.9569214084638,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
6,1,1,2,-509.5258733674834,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,1,2,3,-713.3362227144769,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
6,2,1,4,-101.90517467349666,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,2,2,5,-305.7155240204901,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
6,3,1,6,305.71552402049014,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,3,2,7,101.90517467349672,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
6,4,1,8,713.3362227144771,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,4,2,9,509.52587336748365,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
6,5,1,10,1120.956921408464,85.0,130.0,70.0,300.0,67.5,0.75,0.75,407.62069869398687,2445.724192163921,633.0,15.0
6,5,2,11,917.1465720614706,-85.0,85.0,150.0,300.0,112.5,0.25,0.25,407.62069869398687,2445.724192163921,633.0,15.0
